"","state","Total_schools","schools_with_mmr","avg_mmr","min_mmr","max_mmr","median_mmr","schools_with_overall","avg_overall","min_overall","max_overall","median_overall"
"1","Arizona",1073,1073,92.6999161230196,15.38,100,95,0,NA,NA,NA,NA
"2","Arkansas",481,481,80.5227076299376,17.21854,96.09484,82.20472,0,NA,NA,NA,NA
"3","California",6523,6523,95.5902192242833,1,99,98,6522,94.1941122355106,1,99,96
"4","Colorado",1317,1317,94.4211769172361,16.18,100,98.11,1315,87.9655893536122,7.35,100,91.3
"5","Connecticut",554,554,96.7710469314079,67.86,100,97.86,0,NA,NA,NA,NA
"6","Florida",2236,0,NA,NA,NA,NA,2236,92.5268157423971,3.9,100,94.37
"7","Idaho",467,0,NA,NA,NA,NA,467,82.4408240969229,8.333333333,100,86.66666667
"8","Illinois",3574,3574,97.0714388677113,10.36585366,100,98.175485105,0,NA,NA,NA,NA
"9","Iowa",783,0,NA,NA,NA,NA,783,95.8075351213282,40.8,100,96.9
"10","Maine",353,353,92.5548158640227,38.46,100,94.74,0,NA,NA,NA,NA
"11","Massachusetts",827,827,96.9201934703749,3,100,99,0,NA,NA,NA,NA
"12","Michigan",1899,0,NA,NA,NA,NA,1899,92.1206951026856,35.9,100,93.5
"13","Minnesota",1112,1112,90.2732284172662,20,100,93.925,0,NA,NA,NA,NA
"14","Missouri",441,441,91.1358276643991,1,99,96,0,NA,NA,NA,NA
"15","Montana",448,448,93.8728125,9.43,100,97.145,0,NA,NA,NA,NA
"16","New Jersey",1982,0,NA,NA,NA,NA,1982,95.3128153380424,2,100,97.8
"17","New York",3561,3561,95.9400449311991,3.2,100,99,0,NA,NA,NA,NA
"18","North Carolina",1766,0,NA,NA,NA,NA,1766,96.7942808607021,21.7,100,100
"19","North Dakota",266,266,92.8363533834586,28.13,100,95.39,0,NA,NA,NA,NA
"20","Ohio",1988,1988,90.3652967806841,2.78,100,94.63,1986,87.8458811681772,11.11,100,92.86
"21","Oklahoma",794,0,NA,NA,NA,NA,794,90.8904282115869,33,100,94
"22","Oregon",723,723,93.9119983883956,43.11111111,100,95.54973822,723,91.2811446495021,33.33333333,100,93.40101523
"23","Pennsylvania",1635,1635,96.828623853211,42.6,100,97.9,0,NA,NA,NA,NA
"24","Rhode Island",215,0,NA,NA,NA,NA,215,94.8679069767442,33.3,100,97.4
"25","South Dakota",363,363,95.0282093663912,25,100,100,0,NA,NA,NA,NA
"26","Tennessee",1004,0,NA,NA,NA,NA,1004,94.948406374502,67.3,100,95.8
"27","Texas",777,777,93.1061647361647,16.67,100,97.92,0,NA,NA,NA,NA
"28","Utah",601,601,95.2023960066556,20,100,96.34,0,NA,NA,NA,NA
"29","Vermont",338,338,94.583319603284,33.33333333,100,97.22222222,338,91.578869497642,8.333333333,100,94.779554265
"30","Virginia",1413,0,NA,NA,NA,NA,1413,93.7983722576079,12.5,100,95.9
"31","Washington",1368,1368,88.6381432748538,10,100,92.16,1368,83.702865497076,10,100,87.76
"32","Wisconsin",1423,0,NA,NA,NA,NA,1423,85.8109627547435,5,95,90
